game_id,off_player_id,off_team_id,def_player_id,def_team_id,matchup_min,partial_poss,pct_defender_total_time,pct_off_total_time,pct_total_time_both_on,player_pts,team_pts,matchup_ast,matchup_tov,matchup_blk,matchup_fgm,matchup_fga,matchup_fg3m,matchup_fg3a,matchup_ftm,matchup_fta,sfl
0042000171,202694,1610612746,203939,1610612742,0:35,2.16,0.274,0.049,0.599,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,202694,1610612746,1626196,1610612742,0:32,1.09,0.09,0.044,0.144,0,0,0,0,0,0,2,0,2,0,0,0
0042000171,1627826,1610612746,1629029,1610612742,0:26,1.27,0.031,0.061,0.061,0,2,0,0,0,0,0,0,0,0,0,0
0042000171,1627826,1610612746,1627827,1610612742,0:23,1.4,0.029,0.055,0.055,2,2,0,0,0,1,1,0,0,0,0,0
0042000171,1627826,1610612746,203501,1610612742,0:25,1.42,0.033,0.06,0.066,0,3,0,0,0,0,0,0,0,0,0,0
0042000171,1627826,1610612746,1628467,1610612742,0:25,1.65,0.033,0.059,0.071,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,1627826,1610612746,204001,1610612742,5:19,18.3,0.396,0.755,0.753,6,27,0,0,0,3,4,0,0,0,0,0
0042000171,1627826,1610612746,1626196,1610612742,0:04,0.22,0.012,0.01,0.037,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,202331,1610612746,1628973,1610612742,0:42,2.31,0.096,0.05,0.128,0,2,0,0,0,0,0,0,0,0,0,0
0042000171,202331,1610612746,1626161,1610612742,0:04,0.27,0.061,0.005,0.066,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,202331,1610612746,1629029,1610612742,1:24,5.38,0.101,0.101,0.122,0,14,1,0,0,0,1,0,0,0,0,0
0042000171,202331,1610612746,1627827,1610612742,7:02,24.41,0.531,0.505,0.609,9,20,2,1,0,2,6,1,4,4,4,2
0042000171,202331,1610612746,203501,1610612742,1:19,4.9,0.103,0.094,0.119,6,13,0,0,0,3,5,0,1,0,0,0
0042000171,202331,1610612746,1628467,1610612742,0:58,2.9,0.076,0.069,0.085,2,7,1,1,0,1,1,0,0,0,0,0
0042000171,202331,1610612746,1629740,1610612742,0:50,2.15,0.265,0.06,0.347,2,7,0,0,0,1,2,0,1,0,0,0
0042000171,202331,1610612746,204001,1610612742,0:28,1.76,0.034,0.033,0.041,0,2,0,0,0,0,0,0,0,0,0,0
0042000171,202331,1610612746,203939,1610612742,0:06,0.49,0.046,0.007,0.083,0,3,0,0,0,0,0,0,0,0,0,0
0042000171,202331,1610612746,1626196,1610612742,1:08,3.77,0.189,0.081,0.387,3,6,0,0,0,1,3,1,2,0,0,0
0042000171,201976,1610612746,1628973,1610612742,0:08,0.53,0.019,0.023,0.394,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,201976,1610612746,1629029,1610612742,1:14,3.55,0.088,0.207,0.216,3,5,0,0,0,1,2,1,2,0,0,0
0042000171,201976,1610612746,1627827,1610612742,0:51,2.4,0.064,0.143,0.14,0,7,0,0,0,0,0,0,0,0,0,0
0042000171,201976,1610612746,203501,1610612742,2:53,9.68,0.226,0.485,0.536,0,6,0,1,0,0,1,0,1,0,0,0
0042000171,201976,1610612746,1628467,1610612742,0:25,1.57,0.033,0.071,0.082,2,4,0,0,0,1,1,0,0,0,0,0
0042000171,201976,1610612746,204001,1610612742,0:18,0.89,0.022,0.05,0.049,5,7,0,0,0,2,2,1,1,0,0,0
0042000171,201976,1610612746,1626196,1610612742,0:08,0.55,0.024,0.024,0.093,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,202704,1610612746,1628973,1610612742,1:41,4.81,0.232,0.221,0.283,0,10,0,0,0,0,0,0,0,0,0,0
0042000171,202704,1610612746,1626161,1610612742,0:01,0.03,0.009,0.001,0.009,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,202704,1610612746,1629029,1610612742,0:43,3.02,0.052,0.094,0.151,0,2,0,0,0,0,1,0,1,0,0,0
0042000171,202704,1610612746,1627827,1610612742,0:35,2.46,0.044,0.076,0.155,2,7,1,0,0,1,1,0,0,0,0,0
0042000171,202704,1610612746,203501,1610612742,2:15,7.27,0.176,0.295,0.502,0,9,0,0,0,0,0,0,0,0,0,0
0042000171,202704,1610612746,1628467,1610612742,0:26,1.87,0.034,0.057,0.096,0,3,1,0,0,0,1,0,1,0,0,0
0042000171,202704,1610612746,1629740,1610612742,0:20,1.52,0.104,0.043,0.104,0,3,0,0,0,0,1,0,0,0,0,0
0042000171,202704,1610612746,204001,1610612742,0:16,0.95,0.02,0.035,0.062,0,0,0,0,1,0,2,0,1,0,0,0
0042000171,202704,1610612746,203939,1610612742,0:11,0.58,0.083,0.024,0.083,0,0,0,0,0,0,0,0,0,0,0,0
0042000171,202704,1610612746,1626196,1610612742,1:11,3.72,0.2,0.156,0.295,0,9,0,0,0,0,0,0,0,0,0,0
